"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"81059","2.25","0.0","0.44444444","0.0","RPP1B","1","1","3","-0.3","1.0483E-5","-0.123","0.01128","-0.24","2.1405E-5","false","false","YDL130W","2.0","1","0","0","0.58333333","false","0","YDL130W","0","0.0"
"81060","1.5","0.5","0.66666667","0.0","RPP2B","2","2","2","-0.218","1.427E-5","-0.058","0.18479","-0.314","1.4245E-7","false","false","YDR382W","2.0","2","0","0","0.83333333","false","0","YDR382W","6","0.5"
"81061","9.75806452","0.0","0.10247934","0.0","TOR1","1","1","18","-0.028","0.47775","0.326","2.5298E-5","0.111","0.1951","false","false","YJR066W","2.0","1","0","0","0.67562724","false","0","YJR066W","0","0.0"
"81062","2.5","0.0","0.4","0.0","YKL204W","1","1","4","0.253","6.4944E-6","-0.002","0.9794","0.16","0.091109","false","false","YKL204W","2.0","1","0","0","0.625","false","0","YKL204W","0","0.0"
"81063","1.75","0.5","0.57142857","0.0","YCK2","2","2","3","-0.013","0.76333","-0.066","0.21924","-0.438","2.3558E-7","false","false","YNL154C","1.5","2","0","0","0.8125","false","0","YNL154C","6","0.5"
"81064","8.88709677","0.02544919","0.11252269","0.0","YNL047C","2","2","18","0.14","0.0026155","-0.078","0.19124","0.029","0.7773","false","false","YNL047C","2.5","2","0","0","0.7078853","false","0","YNL047C","6152","0.5"
"81065","2.5","0.0","0.4","0.0","YNL116W","1","1","4","0.165","2.6759E-4","0.027","0.63152","0.358","2.7658E-4","false","false","YNL116W","2.0","1","0","0","0.625","false","0","YNL116W","0","0.0"
"81066","1.75","0.5","0.57142857","0.0","YCK1","2","2","3","0.082","0.037285","-0.049","0.23999","0.119","0.037227","false","false","YHR135C","1.5","2","0","0","0.8125","false","0","YHR135C","6","0.5"
"81067","11.1733871","0.05441934","0.08949838","0.0","TEM1","4","4","22","-0.218","0.37089","-0.069","0.45319","-0.0","0.999999","false","false","YML064C","1.75","4","0","0","0.62320789","false","0","YML064C","9690","0.25"
"81068","6.81048387","0.03966958","0.14683245","0.0","MUD2","2","2","15","0.002","0.96433","-0.294","2.8457E-4","0.608","3.4465E-4","false","false","YKL074C","7.0","2","0","0","0.78479689","false","0","YKL074C","5180","0.5"
"81069","1.0","0.0","1.0","0.0","RPP0","1","1","1","-0.259","4.9964E-6","-0.148","0.0063648","-0.361","2.0593E-7","false","false","YLR340W","1.0","1","0","0","1.0","false","0","YLR340W","0","0.0"
"81070","1.0","0.0","1.0","0.0","RPP1A","1","1","1","-0.429","1.705E-5","-0.094","0.048133","-0.278","5.9631E-6","false","false","YDL081C","1.0","1","0","0","1.0","false","0","YDL081C","0","0.0"
"81071","11.63709677","0.00808084","0.08593209","0.0","CUP2","3","3","22","-0.073","0.33486","0.243","0.0012181","0.147","0.032147","false","false","YGL166W","1.66666667","3","0","0","0.60603345","false","0","YGL166W","2010","0.66666667"
"81072","12.63306452","0.0","0.07915736","0.0","TPO1","1","1","23","-0.189","1.7163E-4","-0.101","0.27319","-0.24","0.0047822","false","false","YLL028W","3.0","1","0","0","0.56914576","false","0","YLL028W","0","0.0"
"81073","10.81854839","0.06016549","0.09243384","0.0","HMO1","3","3","21","-0.314","5.1646E-8","-0.083","0.10372","-0.356","3.4721E-8","false","false","YDR174W","2.66666667","3","0","0","0.63635006","false","0","YDR174W","8006","0.33333333"
"81074","10.31048387","0.05928044","0.09698866","0.0","MSN5","2","2","20","0.028","0.8595","0.189","0.071598","0.272","0.2334","false","false","YDR335W","4.0","2","0","0","0.65516726","false","0","YDR335W","7266","0.5"
"81075","1.5","0.0","0.66666667","0.0","FRE1","1","1","2","0.518","4.6835E-9","-0.279","0.0018109","0.282","0.039051","false","false","YLR214W","2.0","1","0","0","0.75","false","0","YLR214W","0","0.0"
"81076","1.0","1.0","1.0","0.0","MAC1","2","2","1","0.022","0.6115","-0.032","0.59236","0.066","0.54119","false","false","YMR021C","1.0","2","0","0","1.0","false","0","YMR021C","2","0.0"
"81077","6.75403226","0.01848502","0.1480597","0.0","FBP1","2","2","15","0.873","2.1938E-10","1.067","5.8901E-11","0.371","0.0037868","false","false","YLR377C","7.5","2","0","0","0.78688769","false","0","YLR377C","3426","0.5"
"81078","7.55645161","0.04069207","0.13233725","0.0","ICL1","2","2","16","0.65","1.8931E-10","0.591","4.8501E-9","1.147","3.4625E-8","false","false","YER065C","4.5","2","0","0","0.75716846","false","0","YER065C","4226","0.5"
"81079","6.68145161","0.05778362","0.14966807","0.0","SIP4","4","4","15","0.037","0.72688","0.169","0.55601","0.442","0.033306","false","false","YJL089W","1.75","4","0","0","0.78957587","false","0","YJL089W","7016","0.25"
"81080","7.02016129","0.03824806","0.14244687","0.0","SLT2","4","4","14","-0.227","1.349E-4","-0.24","2.7258E-4","0.21","0.0033506","false","false","YHR030C","2.0","4","0","0","0.77703106","false","0","YHR030C","3506","0.25"
"81081","8.00806452","0.00806452","0.12487412","0.0","RLM1","2","2","15","-0.06","0.14513","-0.037","0.47601","0.209","0.0026491","false","false","YPL089C","2.5","2","0","0","0.74044205","false","0","YPL089C","746","0.5"
"81082","1.5","0.0","0.66666667","0.0","SIP2","1","1","2","0.354","1.7995E-6","0.406","1.1069E-6","0.139","0.097498","false","false","YGL208W","2.0","1","0","0","0.75","false","0","YGL208W","0","0.0"
"81083","1.0","1.0","1.0","0.0","SNF4","2","2","1","-0.111","0.0058541","0.112","0.011234","-0.221","0.0027535","false","false","YGL115W","1.0","2","0","0","1.0","false","0","YGL115W","2","0.0"
